AES_Time,RSA_Time
0.001867,0.062443
0.002121,0.047365
0.001385,0.049655
0.001352,0.054205
0.002212,0.055482
0.00203,0.061681
0.001819,0.059025
0.001874,0.06042
0.001724,0.058886
0.001637,0.060604
0.001706,0.058853
0.001833,0.065436
0.00171,0.060799
0.002095,0.06019
0.001812,0.056894
0.001663,0.05978
0.00186,0.049128
0.001265,0.062539
0.002264,0.051273
0.001311,0.05182
0.001518,0.050033
0.001379,0.057581
0.001884,0.059472
0.001908,0.053689
0.001466,0.068879
0.002346,0.056086
0.001521,0.052474
0.001336,0.04985
0.001308,0.05107
0.001376,0.052746
0.001434,0.061518
0.001979,0.057496
0.002136,0.048753
0.001226,0.05608
0.001843,0.056504
0.001877,0.051175
0.001308,0.055259
0.001427,0.050053
0.001448,0.054825
0.002023,0.060507
0.001889,0.050099
0.001573,0.053028
0.001475,0.055945
0.001604,0.056443
0.001625,0.06074
0.002102,0.079107
0.002034,0.050119
0.00131,0.05234
0.001489,0.054711
0.001635,0.058452
0.002005,0.049996
0.001284,0.061698
0.001845,0.059194
0.001708,0.077004
0.001808,0.056858
0.001783,0.05808
0.001729,0.064599
0.001742,0.061994
0.002021,0.058597
0.001889,0.05942
0.001839,0.051444
0.001368,0.060897
0.001802,0.060992
0.001951,0.0573
0.001749,0.054235
0.001567,0.051088
0.001417,0.050735
0.001419,0.052538
0.001549,0.059018
0.001695,0.054426
0.001708,0.057504
0.001805,0.062381
0.001732,0.058476
0.001668,0.051528
0.001329,0.062445
0.001766,0.067958
0.001764,0.063273
0.001973,0.059285
0.001681,0.05891
0.00177,0.057867
0.001923,0.059551
0.001881,0.063887
0.001712,0.062032
0.00238,0.057004
0.001807,0.056022
0.001755,0.051408
0.001464,0.062139
0.001823,0.052004
0.001507,0.072132
0.002074,0.064529
0.002003,0.063604
0.001724,0.063362
0.001995,0.059062
0.001895,0.049563
0.00143,0.057283
0.001621,0.06142
0.001765,0.235012
0.001952,0.062203
0.002077,0.053139
0.001594,0.049121
0.00134,0.073193
0.004898,0.059326
0.001864,0.051178
0.001419,0.059261
0.001792,0.055518
0.001875,0.069121
0.001966,0.066348
0.002953,0.04925
0.001289,0.079393
0.001855,0.061941
0.00215,0.057113
0.001731,0.059789
0.001677,0.054023
0.001963,0.05107
0.001256,0.050241
0.001246,0.061736
0.00163,0.051086
0.001536,0.051449
0.0015,0.047546
0.001242,0.058028
0.001895,0.051558
0.001434,0.05405
0.001667,0.049662
0.001289,0.048674
0.001424,0.053043
0.001419,0.055895
0.001586,0.049987
0.001307,0.090247
0.001957,0.062566
0.002512,0.05225
0.001396,0.051808
0.001315,0.049049
0.001241,0.062482
0.002105,0.056867
0.001773,0.049821
0.001288,0.049034
0.001613,0.053475
0.001392,0.078412
0.001887,0.061695
0.001924,0.055466
0.00166,0.050148
0.001417,0.056918
0.001472,0.060731
0.00188,0.06008
0.002224,0.049652
0.001273,0.051557
0.001243,0.062068
0.001971,0.048872
0.001266,0.058819
0.001654,0.04945
0.001396,0.06367
0.00219,0.053057
0.001657,0.051087
0.001407,0.05665
0.001793,0.062771
0.002279,0.061047
0.002084,0.057422
0.001644,0.050614
0.001367,0.059383
0.001951,0.053042
0.001608,0.052954
0.00167,0.05038
0.001441,0.049661
0.001278,0.076836
0.001313,0.062928
0.002003,0.059152
0.00188,0.050134
0.001681,0.074303
0.001394,0.065667
0.001515,0.063078
0.001954,0.062093
0.002525,0.059804
0.001688,0.05693
0.001833,0.058735
0.001713,0.071435
0.001752,0.060796
0.001858,0.06245
0.001829,0.064169
0.002225,0.048656
0.001236,0.053463
0.001668,0.055089
0.001666,0.051402
0.001393,0.052419
0.001758,0.062293
0.001931,0.055136
0.001686,0.054878
0.001588,0.05681
0.001568,0.056087
0.001775,0.054695
0.001723,0.052477
0.001285,0.061955
0.002007,0.058635
0.016177,0.054629
0.001504,0.058285
0.001866,0.067245
0.001671,0.071236
0.00203,0.063146
0.001983,0.059114
0.001814,0.068518
0.002053,0.057878
0.001766,0.062809
0.002096,0.062121
0.002011,0.064479
0.001796,0.051834
0.001618,0.057571
0.001435,0.061439
0.001952,0.059044
0.002394,0.065176
0.002465,0.055065
0.001877,0.058334
0.002147,0.072629
0.001868,0.066126
0.002016,0.064083
0.002027,0.060763
0.001875,0.054686
0.001521,0.063083
0.001678,0.062242
0.002059,0.061895
0.001941,0.055298
0.002661,0.059327
0.001734,0.052876
0.001667,0.052866
0.001565,0.054013
0.001749,0.060705
0.001826,0.054097
0.001807,0.0608
0.001649,0.05433
0.001502,0.053653
0.001521,0.079287
0.00195,0.061505
0.001996,0.059727
0.001862,0.070728
0.002237,0.057192
0.001699,0.065286
0.00227,0.062775
0.002071,0.050028
0.001285,0.054403
0.001822,0.050628
0.001302,0.051884
0.001552,0.054261
0.001431,0.054566
0.001639,0.05375
0.001756,0.048498
0.001264,0.04931
0.001255,0.091855
0.002035,0.054993
0.001625,0.074773
0.001673,0.049699
0.00127,0.059352
0.002263,0.078981
0.002084,0.051445
0.001437,0.051951
0.001272,0.061433
0.001872,0.049997
0.00142,0.049178
0.001253,0.053609
0.002008,0.051633
0.00148,0.054916
0.001643,0.049938
0.00138,0.061201
0.001882,0.057502
0.001747,0.066858
0.00143,0.072197
0.002122,0.063176
0.001581,0.058543
0.001856,0.048916
0.001256,0.10372
0.002089,0.057813
0.001789,0.07385
0.001357,0.04881
0.001337,0.048606
0.001312,0.054783
0.002148,0.052985
0.001704,0.053267
0.002033,0.057961
0.001927,0.050385
0.00136,0.049526
0.001403,0.064471
0.00211,0.050835
0.001482,0.050435
0.001344,0.054728
0.001688,0.05183
0.001782,0.051686
0.001484,0.052498
0.001344,0.060796
0.00174,0.048903
0.001266,0.050264
0.001698,0.051917
0.001493,0.063327
0.001954,0.059755
0.001679,0.050244
0.001275,0.048578
0.001273,0.048937
0.001254,0.055218
0.001542,0.050654
0.001275,0.066858
0.001536,0.055371
0.00169,0.058337
0.00193,0.04861
0.001264,0.05398
0.001531,0.056789
0.001809,0.05466
0.001658,0.057005
0.001889,0.050441
0.001405,0.051677
0.001762,0.059586
0.001871,0.071199
0.001424,0.050416
0.001406,0.051363
0.001486,0.058069
0.001884,0.05213
0.00156,0.053665
0.001491,0.049954
0.0013,0.077461
0.001947,0.04996
0.001265,0.048404
0.001249,0.063583
0.001975,0.059851
0.001782,0.049187
0.001543,0.051793
0.010185,0.054967
0.001685,0.060591
0.001858,0.054945
0.001324,0.049219
0.001249,0.059776
0.00638,0.054142
0.001651,0.063243
0.002051,0.061768
0.001405,0.050979
0.00145,0.060143
0.00174,0.061944
0.001989,0.048685
0.001279,0.051062
0.001249,0.056907
0.001702,0.075069
0.001723,0.062508
0.00206,0.061705
0.002094,0.05358
0.001484,0.06484
0.001929,0.060464
0.001959,0.060325
0.001891,0.048193
0.001263,0.052779
0.001337,0.074674
0.001682,0.065386
0.018391,0.05495
0.001494,0.067196
0.002687,0.061977
0.001821,0.059472
0.010309,0.055506
0.001595,0.061968
0.001776,0.051699
0.001661,0.063899
0.001863,0.052382
0.001781,0.0599
0.001744,0.059655
0.001731,0.060588
0.001867,0.061908
0.001886,0.06016
0.002039,0.048612
0.001248,0.050735
0.001346,0.05732
0.002019,0.049086
0.001233,0.063169
0.00203,0.068077
0.00211,0.058944
0.001824,0.058273
0.001948,0.060823
0.001977,0.049901
0.001465,0.048763
0.001253,0.050744
0.001283,0.058899
0.00188,0.056331
0.001677,0.059431
0.001838,0.056908
0.00184,0.05382
0.001797,0.05037
0.00143,0.078162
0.00166,0.060027
0.002085,0.0495
0.001363,0.057803
0.001764,0.061155
0.002199,0.059781
0.001855,0.062932
0.00225,0.058817
0.001861,0.052848
0.001593,0.054604
0.001364,0.050131
0.001583,0.062131
0.00179,0.05384
0.001685,0.057472
0.002122,0.04742
0.001262,0.049824
0.001289,0.050247
0.001486,0.051255
0.001461,0.062521
0.002105,0.056234
0.002415,0.0564
0.001853,0.053157
0.001578,0.082177
0.00167,0.057095
0.001873,0.056445
0.001776,0.063593
0.002441,0.052953
0.001723,0.051281
0.001443,0.072456
0.007912,0.06586
0.001968,0.102273
0.003555,0.06476
0.001492,0.065148
0.001748,0.063368
0.001656,0.054402
0.001887,0.080172
0.001988,0.060937
0.002063,0.064419
0.001896,0.049358
0.001288,0.050344
0.001273,0.052216
0.001426,0.052509
0.001455,0.05018
0.001564,0.058661
0.002045,0.050821
0.001423,0.062489
0.001996,0.050219
0.00141,0.059968
0.001495,0.064231
0.009027,0.052597
0.001991,0.06619
0.00224,0.050728
0.001457,0.052152
0.001632,0.079082
0.001911,0.054512
0.001552,0.054153
